No.,Player,Pos,PER
3,Shareef Abdur-Rahim,PF,19.9
25,Corey Benjamin,SG,7.3
4,Chris Crawford,PF,28.8
15,Emanual Davis,SG,8.0
12,Dan Dickau,PG,9.9
5,Dion Glover,SG,13.5
8,Darvin Ham,SG,5.5
40,Antonio Harvey,PF,2.9
44,Alan Henderson,C,12.1
6,Jermaine Jackson,SG,9.9
11,Matt Maloney,PG,9.2
0,Amal McCaskill,C,7.3
2,Nazr Mohammed,C,12.4
38,Mikki Moore,C,26.1
14,Ira Newble,SF,11.7
42,Theo Ratliff,C,13.8
13,Glenn Robinson,SF,16.7
45,Paul Shirley,PF,-28.0
31,Jason Terry,PG,18.2
29,Mike Wilks,SG,9.4
17,Brandon Williams,SF,-10.4
