No.,Player,Pos,PER
11,Chris Andersen,C,16.1
30,Michael Beasley,SF,10.6
1,Chris Bosh,C,19.8
26,Shannon Brown,SG,4.4
15,Mario Chalmers,PG,11.7
30,Norris Cole,PG,9.9
24,Andre Dawkins,SG,-5.0
9,Luol Deng,SF,15.5
7,Goran Dragic,PG,18.8
12,Zoran Dragic,SG,8.0
32,James Ennis,SF,11.5
22,Danny Granger,SF,8.6
7,Justin Hamilton,C,9.7
40,Udonis Haslem,PF,10.6
8,Tyler Johnson,SG,12.0
4,Josh McRoberts,PF,10.2
13,Shabazz Napier,PG,9.3
3,Dwyane Wade,SG,21.4
5,Henry Walker,SF,8.0
21,Hassan Whiteside,C,26.2
43,Shawne Williams,SF,11.2
