No.,Player,Pos,PER
21,Alexis Ajinca,PF,7.0
14,D.J. Augustin,PG,14.9
19,Raja Bell,SG,11.7
1,Andre Brown,PF,-1.5
12,Shannon Brown,SG,12.1
13,Matt Carroll,SG,7.0
32,Boris Diaw,PF,14.9
7,DeSagana Diop,C,10.3
4,Jared Dudley,SF,10.6
20,Raymond Felton,PG,13.7
15,Ryan Hollins,C,15.3
5,Juwan Howard,SF,10.9
2,Dontell Jefferson,SG,12.7
43,Linton Johnson,PF,-1.5
27,Dwayne Jones,PF,8.0
1,Cartier Martin,SF,9.2
42,Sean May,PF,6.2
6,Nazr Mohammed,C,7.7
35,Adam Morrison,SF,5.8
50,Emeka Okafor,C,18.0
10,Vladimir Radmanovic,SF,10.2
23,Jason Richardson,SG,15.8
44,Sean Singletary,PG,5.5
3,Gerald Wallace,SF,18.6
