No.,Player,Pos,PER
9,Tony Allen,SG,13.2
0,Darrell Arthur,PF,11.8
7,Jerryd Bayless,PG,13.5
11,Mike Conley,PG,18.3
32,Ed Davis,PF,17.2
5,Austin Daye,SF,13.3
55,Keyon Dooling,PG,11.2
3,Wayne Ellington,SG,9.8
33,Marc Gasol,C,19.5
22,Rudy Gay,SF,14.1
15,Hamed Haddadi,C,7.4
4,Chris Johnson,SF,10.7
30,Jon Leuer,PF,17.2
45,Dexter Pittman,C,-7.7
20,Quincy Pondexter,SF,11.0
21,Tayshaun Prince,SF,10.2
50,Zach Randolph,PF,17.9
2,Josh Selby,PG,0.1
5,Marreese Speights,C,16.1
1,Tony Wroten,SG,9.3
