No.,Player,Pos,PER
2,Joe Barry Carroll,C,11.8
5,Dave Feitl,C,10.7
21,Sleepy Floyd,PG,19.5
32,Tellis Frank,PF,10.2
12,Winston Garland,PG,13.8
11,Steve Harris,SG,14.5
25,Kevin Henderson,SG,6.4
22,Rod Higgins,SF,16.3
52,Dave Hoppen,C,11.5
30,Ben McDonald,PF,9.0
10,Dirk Minniefield,PG,13.2
17,Chris Mullin,SF,19.8
50,Ralph Sampson,C,14.0
13,Larry Smith,PF,10.8
18,Otis Smith,SG,19.4
20,Terry Teagle,SG,13.0
4,Mark Wade,PG,4.5
8,Chris Washburn,C,8.3
3,Kermit Washington,PF,12.9
4,Tony White,PG,11.3
33,Jerome Whitehead,C,10.8
