No.,Player,Pos,PER
42,Vin Baker,C,-18.3
12,Andre Barrett,PG,5.6
20,Jon Barry,SG,14.0
40,Ryan Bowen,SF,7.7
32,Torraye Braggs,PF,11.6
4,Reece Gaines,PG,4.7
5,Juwan Howard,PF,13.0
21,Jim Jackson,SF,10.5
13,Mike James,PG,17.4
10,Brandin Knight,PG,-1.2
10,Tyronn Lue,PG,7.7
1,Tracy McGrady,SF,22.9
11,Yao Ming,C,23.2
55,Dikembe Mutombo,C,16.4
9,Bostjan Nachbar,SF,6.1
25,Moochie Norris,PG,0.6
35,Scott Padgett,PF,12.3
31,Rod Strickland,PG,4.6
3,Bob Sura,PG,14.4
2,Maurice Taylor,PF,8.2
17,Charlie Ward,PG,8.7
30,Clarence Weatherspoon,PF,9.0
7,David Wesley,SG,11.6
