No.,Player,Pos,PER
34,Robert Archibald,C,5.6
14-42,Mengke Bateer,C,7.2
35,Lonny Baxter,C,12.6
44,Corie Blount,C,6.9
4,Chris Bosh,C,15.1
5-33,Michael Bradley,PF,1.3
9,Rick Brunson,PG,18.3
15,Vince Carter,SG,20.0
12,Michael Curry,SF,3.6
33,Antonio Davis,C,10.6
22,Dion Glover,SG,9.9
32,Chris Jefferies,SG,33.3
42,Donyell Marshall,PF,19.7
31,Roger Mason,SG,9.7
6,Jerome Moiso,PF,12.3
21,Lamond Murray,SF,8.9
10,Milt Palacio,PG,7.4
2,Jannero Pargo,PG,5.6
24,Morris Peterson,SF,12.1
5,Jalen Rose,PG,12.8
1,Rod Strickland,PG,11.8
20,Alvin Williams,SG,11.4
13,Jerome Williams,PF,12.4
