No.,Player,Pos,PER
12,Jeff Adrien,PF,14.2
24,Anthony Bennett,PF,11.4
13,Corey Brewer,SF,13.8
7,Lorenzo Brown,PG,11.0
10,Chase Budinger,SF,12.2
30,Troy Daniels,SG,7.4
5,Gorgui Dieng,C,17.2
21,Kevin Garnett,PF,19.3
41,Justin Hamilton,C,18.0
4,Robbie Hummel,SF,9.7
1,Sean Kilpatrick,SG,10.0
8,Zach LaVine,PG,11.3
23,Kevin Martin,SG,16.7
15,Shabazz Muhammad,SG,19.9
12,Gary Neal,SG,15.1
50,Arinze Onuaku,C,22.8
3,Adreian Payne,PF,7.8
14,Nikola Pekovic,C,16.6
13,Miroslav Raduljica,C,3.3
1,Glenn Robinson III,SG,8.2
9,Ricky Rubio,PG,15.2
32,Ronny Turiaf,C,4.3
22,Andrew Wiggins,SG,13.9
25,Mo Williams,PG,14.4
33,Thaddeus Young,PF,15.0
