No.,Player,Pos,PER
22.0,Matt Barnes,SF,12.0
25.0,Reggie Bullock,SF,6.7
2.0,Darren Collison,PG,16.2
11.0,Jamal Crawford,SG,17.3
,Glen Davis,PF,10.3
9.0,Jared Dudley,SF,8.9
33.0,Danny Granger,SF,12.6
34.0,Willie Green,SG,7.1
32.0,Blake Griffin,PF,23.9
15.0,Ryan Hollins,PF,11.9
1.0,Stephen Jackson,SF,0.1
33.0,Antawn Jamison,PF,7.8
6.0,DeAndre Jordan,C,18.2
7.0,Darius Morris,PG,1.5
0.0,Byron Mullens,C,7.8
3.0,Chris Paul,PG,25.9
4.0,J.J. Redick,SG,16.6
8.0,Hedo Turkoglu,SF,11.3
18.0,Sasha Vujacic,SG,1.5
5.0,Maalik Wayns,PG,19.3
