No.,Player,Pos,PER
50,Lavoy Allen,PF,11.9
9,James Anderson,SG,10.9
7,Lorenzo Brown,PG,8.2
1,Michael Carter-Williams,PG,15.5
20,Brandon Davies,PF,7.5
30,Dewayne Dedmon,C,8.7
0,Spencer Hawes,C,15.3
0,Darius Johnson-Odom,SG,-23.0
11,Eric Maynor,PG,6.6
7,Darius Morris,PG,11.9
5,Arnett Moultrie,PF,6.7
30,Byron Mullens,C,16.1
12,James Nunnally,SF,6.1
33,Daniel Orton,C,10.5
35,Henry Sims,C,17.4
7,Adonis Thomas,F,10.1
31,Hollis Thompson,SF,9.5
12,Evan Turner,SF,13.2
40,Jarvis Varnado,PF,13.4
17,Casper Ware,PG,13.0
25,Elliot Williams,SG,8.7
8,Tony Wroten,PG,12.9
21,Thaddeus Young,PF,16.6
