No.,Player,Pos,PER
53.0,Jerome Allen,SG,8.7
2.0,Vincent Askew,SG,9.9
4.0,Travis Best,PG,13.3
25.0,Erick Dampier,C,11.8
33.0,Antonio Davis,PF,13.8
32.0,Dale Davis,PF,15.1
27.0,Duane Ferrell,SF,11.6
,Darvin Ham,SF,22.5
20.0,Fred Hoiberg,SG,15.9
13.0,Mark Jackson,PG,14.8
8.0,Eddie Johnson,SF,11.7
9.0,Derrick McKey,SF,10.6
31.0,Reggie Miller,SG,20.2
5.0,Jalen Rose,SF,13.8
55.0,Brent Scott,PF,7.0
45.0,Rik Smits,C,18.3
41.0,LaSalle Thompson,C,0.8
7.0,Reggie Williams,SF,-1.5
3.0,Haywoode Workman,PG,11.0
