No.,Player,Pos,PER
12,Chris Andersen,C,14.1
33,Brandon Bass,PF,9.1
42,P.J. Brown,C,12.7
45,Rasual Butler,SF,10.8
5,Speedy Claxton,PG,16.1
21,Marcus Fizer,PF,14.1
44,Marc Jackson,C,13.9
43,Linton Johnson,SF,10.5
15,Maciej Lampe,C,-6.1
6,Arvydas Macijauskas,SG,8.3
24,Desmond Mason,SF,9.2
10,Bostjan Nachbar,PF,7.3
25,Moochie Norris,PG,9.6
3,Chris Paul,PG,22.1
23,J.R. Smith,SG,12.7
1,Kirk Snyder,SG,14.6
4,Jackson Vroman,PF,5.9
30,David West,PF,19.7
34,Aaron Williams,C,12.2
