No.,Player,Pos,PER
52,Mel Bennett,PF,-2.7
52,Brad Branson,PF,8.4
10,Ron Brewer,SG,14.0
32,Kenny Carr,PF,15.3
9,Mickey Dillard,PG,7.0
40,James Edwards,C,15.8
5,Mike Evans,PG,7.5
35,Don Ford,SF,3.7
15,Keith Herron,SG,6.8
35,Phil Hubbard,SF,13.3
20,Geoff Huston,PG,14.0
44,Reggie Johnson,PF,12.7
41,Bill Laimbeer,C,14.2
30,Mike Mitchell,SF,14.2
44,Paul Mokeski,C,11.1
14,Lowes Moore,PG,21.5
15,Roger Phegley,SG,13.3
24,Kevin Restani,PF,7.1
11,Cliff Robinson,PF,18.1
13,James Silas,SG,15.7
31,Richard Washington,PF,7.1
8,Scott Wedman,SF,12.5
33,Bob Wilkerson,SF,12.5
