No.,Player,Pos,PER
12,Chris Andersen,C,18.5
10,Darrell Armstrong,PG,11.1
3,Lonny Baxter,PF,-8.0
42,P.J. Brown,PF,15.5
5,Speedy Claxton,PG,13.4
1,Baron Davis,PG,21.4
2,Dan Dickau,PG,15.0
34,Corsley Edwards,C,8.6
35,Matt Freije,PF,4.1
20,Alex Garcia,SG,8.4
6,Junior Harrington,SG,7.7
32,Casey Jacobsen,SG,11.7
15,Maciej Lampe,C,8.3
9,George Lynch,SF,7.9
21,Jamaal Magloire,C,12.9
10,Bostjan Nachbar,PF,10.9
33,Lee Nailon,SF,14.5
54,Rodney Rogers,SF,7.1
23,J.R. Smith,SG,10.9
4,Jackson Vroman,C,9.7
4,David Wesley,SG,12.2
30,David West,SF,11.1
