No.,Player,Pos,PER
7,Carmelo Anthony,SF,22.8
32,Renaldo Balkman,SF,0.7
4,Chauncey Billups,PG,19.1
8,Derrick Brown,SF,16.0
25,Anthony Carter,PG,11.1
21,Wilson Chandler,SF,15.7
23,Toney Douglas,SG,15.2
2,Raymond Felton,PG,17.3
6,Landry Fields,SG,13.5
8,Danilo Gallinari,PF,15.6
9,Jared Jeffries,PF,7.6
18,Roger Mason,SG,7.1
25,Timofey Mozgov,C,10.3
4,Anthony Randolph,PF,7.6
11,Andy Rautins,SG,-1.2
1,Amar'e Stoudemire,C,22.7
14,Ronny Turiaf,C,13.6
5,Henry Walker,SG,11.3
3,Shawne Williams,PF,12.2
13,Shelden Williams,PF,15.9
