No.,Player,Pos,PER
52,Victor Alexander,C,14.3
35,Jud Buechler,SF,11.5
45,Joe Courtney,PF,10.3
20,Pat Durham,SF,2.9
25,Chris Gatling,PF,16.8
44,Jeff Grayer,SG,12.0
10,Tim Hardaway,PG,19.7
3,Sean Higgins,SF,9.2
32,Tyrone Hill,C,12.9
21,Byron Houston,PF,10.6
2,Keith Jennings,PG,18.5
53,Alton Lister,C,4.3
13,Sarunas Marciulionis,SF,20.4
17,Chris Mullin,SF,19.0
55,Ed Nealy,PF,7.4
30,Billy Owens,PF,16.9
5,Paul Pressey,SG,8.4
12,Andre Spencer,SF,13.5
15,Latrell Sprewell,SG,13.6
34,Barry Stevens,SF,15.2
