No.,Player,Pos,PER
4,Tony Battie,C,12.0
1,Carlos Boozer,PF,20.8
3,J.R. Bremer,PG,7.1
5,Kedrick Brown,SF,13.0
8,Mateen Cleaves,PG,6.8
31,Ricky Davis,SG,14.2
52,DeSagana Diop,C,10.4
11,Zydrunas Ilgauskas,C,20.2
23,LeBron James,SG,18.3
24,Jason Kapono,SF,10.2
32,Jelani McCoy,C,-3.8
0,Jeff McInnis,PG,15.3
4,Chris Mihm,PF,16.6
21,Darius Miles,SF,12.7
54,Lee Nailon,SF,12.2
14,Ira Newble,SF,6.7
12,Kevin Ollie,PG,12.2
13,Michael Stewart,PF,6.8
41,Bruno Sundov,C,0.9
2,Dajuan Wagner,SG,8.6
55,Eric Williams,SF,11.2
