No.,Player,Pos,PER
44,Shawn Bradley,C,16.7
10,Sam Cassell,PG,15.8
5,Sasha Danilovic,SG,14.5
50,Greg Dreiling,C,7.3
7,Tony Dumas,SG,6.1
4,Michael Finley,SF,14.5
25,Chris Gatling,PF,24.4
45,A.C. Green,PF,12.6
12,Derek Harper,PG,12.9
24,Jim Jackson,SG,15.2
5,Jason Kidd,PG,15.1
33,Stacey King,C,3.7
32,Jamal Mashburn,SF,11.9
21,George McCloud,SF,15.9
40,Loren Meyer,PF,4.4
2,Oliver Miller,C,11.6
00,Eric Montross,C,6.6
13-31,Martin Muursepp,PF,15.1
31,Ed O'Bannon,SF,4.7
14,Robert Pack,PG,13.1
6,Khalid Reeves,PG,8.3
44,Fred Roberts,PF,12.8
33,Jason Sasser,SF,14.3
1,Stevin Smith,SG,3.3
20,Erick Strickland,SG,11.0
52,Samaki Walker,PF,12.2
3,Jamie Watson,SF,9.7
