No.,Player,Pos,PER
16,Al Attles,PG,8.6
31,Joe Ellis,SF,10.7
12,Levi Fontaine,SG,12.1
15,Nick Jones,SG,11.4
43,Clyde Lee,C,14.8
32,Jerry Lucas,PF,20.6
23,Jeff Mullins,SG,17.1
22,Ralph Ogden,F,2.5
33,Bob Portman,SG,12.1
10,Adrian Smith,SG,14.2
42,Nate Thurmond,C,18.5
20-34,Bill Turner,SF,6.0
21,Ron Williams,PG,14.6
