No.,Player,Pos,PER
52,Calvin Booth,C,10.9
5,Bobby Brown,SG,7.7
3,Ike Diogu,PF,24.9
8,Quincy Douby,PG,8.0
32,Francisco Garcia,SF,14.1
90,Drew Gooden,PF,18.7
20,Donte Greene,SF,5.2
31,Spencer Hawes,C,13.0
24,Bobby Jackson,PG,12.4
23,Kevin Martin,SG,19.2
7,Rashad McCants,SG,17.2
52,Brad Miller,C,15.7
33,Mikki Moore,PF,8.6
5,Andres Nocioni,SF,13.6
15,John Salmons,SF,16.0
15,Cedric Simmons,PF,-8.3
17,Will Solomon,PG,12.6
9,Kenny Thomas,PF,8.8
34,Jason Thompson,PF,13.9
19,Beno Udrih,PG,12.3
22,Shelden Williams,PF,12.2
