No.,Player,Pos,PER
10,Mookie Blaylock,PG,15.8
40,Corie Blount,PF,14.3
52,Chucky Brown,SF,13.4
40,John Coker,C,-2.8
5,Vonteego Cummings,PG,10.4
30,Bill Curley,PF,12.1
25,Erick Dampier,C,10.0
15,Vinny Del Negro,PG,6.9
21,Danny Fortson,PF,24.4
31,Adonal Foyle,C,12.4
22,Ruben Garces,PF,5.2
2,Chris Garner,PG,1.0
20,Larry Hughes,SG,13.9
44,Marc Jackson,C,16.1
33,Antawn Jamison,SF,19.0
32,Adam Keefe,PF,9.7
2,Randy Livingston,PG,-3.7
23,Paul McPherson,PG,16.7
34,Chris Mills,SF,9.6
17,Chris Mullin,SF,10.0
4,Chris Porter,SF,11.1
3,Bob Sura,SG,11.2
