No.,Player,Pos,PER
10,Don Adams,SF,9.1
14,Ken Charles,SG,11.9
15,Ernie DiGregorio,PG,10.7
21,Dick Gibbs,SF,9.8
24,Gar Heard,PF,13.4
22,Steve Kuberski,SF,7.8
42,Jack Marin,SF,11.9
11,Bob McAdoo,C,23.3
52,Tom McMillen,C,11.5
5,Jim McMillian,SF,15.3
54,Dale Schlueter,C,10.7
34,John Shumate,PF,15.8
9,Randy Smith,SG,18.7
12,Jim Washington,PF,3.7
8,Bob Weiss,PG,10.0
