No.,Player,Pos,PER
8,Kobe Bryant,SG,21.7
11,John Celestand,PG,2.7
2,Derek Fisher,PG,9.6
17,Rick Fox,SF,11.7
3,Devean George,SF,12.1
45,A.C. Green,PF,11.2
4,Ron Harper,PG,12.0
5,Robert Horry,PF,14.3
7,Sam Jacobson,PG,14.1
40,Travis Knight,C,9.5
10,Tyronn Lue,PG,10.5
34,Shaquille O'Neal,C,30.6
41,Glen Rice,SF,16.2
16,John Salley,C,8.3
20,Brian Shaw,SG,10.9
