No.,Player,Pos,PER
33,Shareef Abdur-Rahim,PF,16.5
1,Derek Anderson,SG,15.1
44,Ruben Boumtje-Boumtje,C,3.4
31,Matt Carroll,SG,6.2
10,Omar Cook,PG,4.7
34,Dale Davis,C,12.9
7,Dan Dickau,PG,7.7
28,Kaniel Dickens,PF,23.1
5,Desmond Ferguson,SF,11.3
4,Eddie Gill,PG,13.2
5,Jeff McInnis,SG,15.0
23,Darius Miles,SF,18.6
35,Tracy Murray,SF,2.4
25,Travis Outlaw,PF,16.4
21,Ruben Patterson,SF,14.6
7,Wesley Person,SG,14.8
50,Zach Randolph,PF,19.6
42,Theo Ratliff,C,16.8
11,Vladimir Stepania,C,12.2
3,Damon Stoudamire,PG,14.8
29,Slavko Vranes,C,-20.4
30,Rasheed Wallace,PF,17.5
6,Bonzi Wells,SG,11.3
24,Qyntel Woods,SF,9.4
