No.,Player,Pos,PER
0,Al-Farouq Aminu,SF,10.6
1,Trevor Ariza,SF,14.2
15,Gustavo Ayon,PF,16.7
8,Marco Belinelli,SG,11.9
11,Jerome Dyson,PG,11.3
54,Jeff Foote,C,-0.9
10,Eric Gordon,PG,19.2
4,Xavier Henry,SG,9.2
2,Jarrett Jack,PG,17.9
5,Carldell Johnson,PG,8.9
20,Chris Johnson,C,10.1
12,Trey Johnson,SG,11.8
18,Solomon Jones,C,11.0
35,Chris Kaman,C,15.3
24,Carl Landry,PF,18.2
50,Emeka Okafor,C,15.1
12,Donald Sloan,PG,8.0
14,Jason Smith,PF,16.6
22,DaJuan Summers,SF,9.0
42,Lance Thomas,PF,10.1
21,Greivis Vasquez,SG,14.2
31,Darryl Watkins,C,10.8
