No.,Player,Pos,PER
41,Etdrick Bohannon,PF,22.4
52,Chucky Brown,SF,8.7
50,Bimbo Coles,PG,9.3
32,Chris Gatling,PF,15.6
15,Matt Harpring,SG,13.3
17,Michael Hawkins,PG,3.7
45,Cedric Henderson,SF,6.2
11,Zydrunas Ilgauskas,C,16.0
2,Jim Jackson,SF,9.7
10,Anthony Johnson,PG,9.1
12,Brevin Knight,PG,6.5
21,Trajan Langdon,SG,11.8
4,Chris Mihm,C,12.6
24,Andre Miller,PG,20.1
30,Lamond Murray,SF,13.9
1,Wesley Person,SG,11.6
31,J.R. Reid,PF,15.7
20,Larry Robinson,SG,-54.4
54,Robert Traylor,C,14.1
35,Clarence Weatherspoon,PF,17.4
