
,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 &lt;3,3P,2P,0-3,3-10,10-16,16 &lt;3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Avery Bradley,24,4,133,.380,16.5,.620,.180,.100,.060,.280,.380,.452,.667,.200,.667,.357,.263,.786,.000,0,1.000,.211,.500,0,0
2,Isaiah Thomas,25,4,119,.333,14.6,.667,.259,.093,.167,.148,.333,.417,.571,.200,.333,.375,.167,.067,.000,0,.667,.056,.000,0,0
3,Evan Turner,26,4,118,.364,10.8,.909,.273,.159,.341,.136,.091,.350,.333,.286,.467,.167,.500,.214,.000,0,1.000,.250,1.000,0,0
4,Jae Crowder,24,4,100,.517,11.5,.655,.414,.138,.000,.103,.345,.632,.750,.500,,.333,.300,.583,.034,1,1.000,.100,.000,0,0
5,Tyler Zeller,25,4,90,.517,7.2,1.000,.310,.345,.172,.172,.000,.517,.556,.600,.400,.400,,.733,.103,2,,,,0,0
6,Marcus Smart,20,4,90,.483,15.9,.552,.345,.000,.034,.172,.448,.688,.800,,.000,.600,.231,.273,.034,1,1.000,.000,,0,0
7,Brandon Bass,29,4,86,.350,8.2,1.000,.250,.350,.250,.150,.000,.350,.400,.286,.400,.333,,.429,.100,2,,,,0,0
8,Jared Sullinger,22,4,80,.553,10.1,.763,.368,.263,.053,.079,.237,.621,.857,.400,.500,.333,.333,.667,.000,0,1.000,.000,,0,0
9,Jonas Jerebko,27,4,68,.333,11.0,.733,.267,.400,.000,.067,.267,.455,.500,.333,,1.000,.000,.600,.000,0,,.750,.000,0,0
10,Kelly Olynyk,23,4,53,.538,13.8,.538,.231,.231,.077,.000,.462,.571,1.000,.000,1.000,,.500,.750,.077,1,1.000,.333,1.000,0,0
11,Luigi Datome,27,3,14,.333,12.0,.667,.167,.500,.000,.000,.333,.500,1.000,.333,,,.000,1.000,.000,0,,.000,,0,0
12,Phil Pressey,23,2,5,.000,16.3,.667,.333,.000,.000,.333,.333,.000,.000,,,.000,.000,,.000,0,,.000,,0,0
13,Gerald Wallace,32,1,4,.000,2.0,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,.000,0,,,,0,0
