
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Milwaukee Bucks*,82,19805,3214,6972,.461,80,308,.260,3134,6664,.470,2020,2700,.748,1236,2293,3529,1904,642,389,1562,2104,8528,104.0
2,Washington Bullets*,82,19855,3494,7179,.487,66,232,.284,3428,6947,.493,1623,2172,.747,1119,2673,3792,1988,630,397,1467,1833,8677,105.8
3,Seattle SuperSonics,82,19705,3520,7142,.493,79,253,.312,3441,6889,.499,1703,2212,.770,1113,2379,3492,2220,732,458,1383,2020,8822,107.6
4,Atlanta Hawks,82,19855,3504,7267,.482,46,212,.217,3458,7055,.490,1808,2384,.758,1332,2411,3743,2087,674,373,1488,1972,8862,108.1
5,Boston Celtics*,82,19705,3642,7642,.477,71,269,.264,3571,7373,.484,1512,1922,.787,1105,2287,3392,2041,641,315,1222,1964,8867,108.1
6,Philadelphia 76ers*,82,19805,3494,7157,.488,80,311,.257,3414,6846,.499,1857,2397,.775,1183,2173,3356,2139,753,391,1534,2209,8925,108.8
7,Dallas Mavericks*,82,19855,3626,7200,.504,98,318,.308,3528,6882,.513,1588,2080,.763,1062,2470,3532,2113,572,430,1340,2066,8938,109.0
8,Utah Jazz*,82,19755,3532,7604,.464,72,280,.257,3460,7324,.472,1810,2375,.762,1360,2645,4005,2069,806,443,1606,2076,8946,109.1
9,New Jersey Nets*,82,19755,3514,7040,.499,79,262,.302,3435,6778,.507,1849,2454,.753,1084,2405,3489,1975,680,352,1496,1933,8956,109.2
10,Houston Rockets*,82,19830,3500,7274,.481,90,258,.349,3410,7016,.486,1887,2425,.778,1159,2222,3381,2117,773,415,1495,1903,8977,109.5
11,Chicago Bulls*,82,19805,3521,7210,.488,91,292,.312,3430,6918,.496,1852,2394,.774,1137,2260,3397,2045,668,447,1323,2040,8985,109.6
12,New York Knicks,82,19830,3329,6732,.495,67,229,.293,3262,6503,.502,2282,3006,.759,1219,2401,3620,2143,667,446,1589,2038,9007,109.8
13,Phoenix Suns*,82,19805,3605,7309,.493,65,224,.290,3540,7085,.500,1756,2295,.765,1125,2416,3541,2181,771,410,1468,2019,9031,110.1
14,Los Angeles Lakers*,82,19755,3665,7639,.480,84,297,.283,3581,7342,.488,1679,2244,.748,1248,2078,3326,2313,756,370,1365,1905,9093,110.9
15,Cleveland Cavaliers*,82,19780,3547,7415,.478,70,253,.277,3477,7162,.485,1965,2554,.769,1210,2451,3661,2215,612,429,1357,2101,9129,111.3
16,Los Angeles Clippers,82,19730,3737,7630,.490,74,263,.281,3663,7367,.497,1604,2115,.758,1248,2282,3530,2264,770,422,1242,1887,9152,111.6
17,Portland Trail Blazers*,82,19880,3697,7494,.493,59,232,.254,3638,7262,.501,1737,2269,.766,1268,2336,3604,2235,726,459,1607,2160,9190,112.1
18,Detroit Pistons*,82,19830,3700,7457,.496,78,249,.313,3622,7208,.502,1826,2404,.760,1109,2563,3672,2107,642,508,1486,2017,9304,113.5
19,San Antonio Spurs*,82,19780,3644,7348,.496,72,242,.298,3572,7106,.503,1977,2548,.776,1136,2265,3401,2283,749,472,1489,2154,9337,113.9
20,Indiana Pacers,82,19780,3628,7332,.495,64,200,.320,3564,7132,.500,2068,2707,.764,1098,2583,3681,2242,777,523,1424,2072,9388,114.5
21,Kansas City Kings,82,19755,3805,7461,.510,65,259,.251,3740,7202,.519,1957,2546,.769,1166,2267,3433,2344,761,512,1424,2205,9632,117.5
22,Denver Nuggets*,82,19830,3775,7379,.512,64,254,.252,3711,7125,.521,2027,2648,.765,1181,2628,3809,2154,670,589,1744,2178,9641,117.6
23,Golden State Warriors,82,19855,3839,7165,.536,57,220,.259,3782,6945,.545,1919,2530,.758,1101,2521,3622,2336,650,469,1583,2180,9654,117.7
,League Average,82,19797,3588,7306,.491,73,257,.282,3516,7049,.499,1839,2408,.764,1174,2392,3566,2153,701,436,1465,2045,9089,110.8
