
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Alaa Abdelnaby,PF,6-10,240,June 24 1968,3,Duke University
7,Dee Brown,SG,6-1,160,November 29 1968,3,Jacksonville University
12,Chris Corchiani,PG,6-0,185,March 28 1968,2,North Carolina State University
20,Sherman Douglas,PG,6-0,180,September 15 1966,4,Syracuse University
55,Acie Earl,C,6-10,240,June 23 1970,R,University of Iowa
44,Rick Fox,SF,6-7,230,July 24 1969,2,University of North Carolina
34,Kevin Gamble,SF,6-5,210,November 13 1965,6,University of Iowa
43,Tony Harris,SG,6-3,190,May 13 1967,1,University of New Orleans
30,Todd Lichti,SG,6-4,205,January 8 1967,4,Stanford University
31,Xavier McDaniel,SF,6-7,205,June 4 1963,8,Wichita State University
27,Jimmy Oliver,SG,6-5,205,July 12 1969,1,Purdue University
00,Robert Parish,C,7-0,230,August 30 1953,17,Centenary College of Louisiana
54,Ed Pinckney,PF,6-9,195,March 27 1963,8,Villanova University
40,Dino Radja,PF,6-11,225,April 24 1967,R,
50,Matt Wenstrom,C,7-1,250,November 4 1970,R,University of North Carolina
