
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
14,Ken Charles,SG,6-3,180,July 10 1951,R,Fordham University
15,Ernie DiGregorio,PG,6-0,180,January 15 1951,R,Providence College
30,Jim Garvin,PF,6-7,200,February 5 1950,R,Boston University
4,Matt Guokas,SG,6-5,175,February 25 1944,7,Saint Joseph's University
24,Gar Heard,PF,6-6,219,May 3 1948,3,University of Oklahoma
44,Bob Kauffman,PF,6-8,240,July 13 1946,5,Guilford College
43,Kevin Kunnert,C,7-0,230,November 11 1951,R,University of Iowa
21,Mike Macaluso,SF,6-5,210,July 20 1951,R,Canisius College
42,Jack Marin,SF,6-7,200,October 12 1944,7,Duke University
11,Bob McAdoo,C,6-9,210,September 25 1951,1,University of North Carolina
5,Jim McMillian,SF,6-5,215,March 11 1948,3,Columbia University
22,Paul Ruffner,C,6-10,225,October 15 1948,2,Brigham Young University
9,Randy Smith,SG,6-3,180,December 12 1948,2,State University of New York College at Buffalo
3,Lee Winfield,PG,6-2,174,February 4 1947,4,University of North Texas
13,Dave Wohl,PG,6-2,185,November 2 1949,2,University of Pennsylvania
