
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,New York Knicks,82,19805,3192,6672,.478,68,274,.248,3124,6398,.488,2102,2744,.766,1166,2587,3753,2007,701,444,1629,2018,8554,104.3
2,Seattle SuperSonics,82,19930,3301,6774,.487,57,224,.254,3244,6550,.495,1913,2491,.768,1027,2308,3335,2038,654,406,1467,2008,8572,104.5
3,Boston Celtics*,82,19855,3444,7476,.461,82,304,.270,3362,7172,.469,1617,2162,.748,1089,2317,3406,1924,725,341,1258,1966,8587,104.7
4,Washington Bullets*,82,19855,3435,7360,.467,71,259,.274,3364,7101,.474,1649,2181,.756,1249,2591,3840,2014,712,454,1373,1907,8590,104.8
5,Milwaukee Bucks*,82,19805,3286,7043,.467,97,329,.295,3189,6714,.475,1980,2674,.740,1169,2325,3494,1952,633,397,1631,2139,8649,105.5
6,Atlanta Hawks*,82,19805,3360,7074,.475,87,283,.307,3273,6791,.482,1905,2508,.760,1202,2329,3531,1945,697,371,1494,2129,8712,106.2
7,Indiana Pacers,82,19755,3372,7123,.473,73,275,.265,3299,6848,.482,1975,2571,.768,1050,2479,3529,2057,745,445,1315,1909,8792,107.2
8,Philadelphia 76ers*,82,19905,3615,7328,.493,82,282,.291,3533,7046,.501,1546,2041,.757,1189,2228,3417,2255,802,469,1520,2187,8858,108.0
9,Utah Jazz*,82,19780,3470,7339,.473,65,251,.259,3405,7088,.480,1896,2483,.764,1208,2510,3718,1977,752,464,1531,2221,8901,108.5
10,Los Angeles Lakers*,82,19830,3577,7450,.480,51,247,.206,3526,7203,.490,1778,2369,.751,1104,2226,3330,2235,792,359,1330,1992,8983,109.5
11,Cleveland Cavaliers,82,19780,3435,7239,.475,86,297,.290,3349,6942,.482,2115,2758,.767,1131,2494,3625,2122,711,364,1331,1945,9071,110.6
12,New Jersey Nets*,82,19805,3504,7124,.492,96,316,.304,3408,6808,.501,2008,2622,.766,1036,2369,3405,2019,783,390,1523,2002,9112,111.1
13,Houston Rockets*,82,19755,3638,7402,.491,87,268,.325,3551,7134,.498,1802,2406,.749,1190,2389,3579,2196,683,386,1464,1977,9165,111.8
14,Sacramento Kings*,82,19780,3566,7225,.494,73,281,.260,3493,6944,.503,1971,2609,.755,1142,2339,3481,2118,751,478,1409,2083,9176,111.9
15,Detroit Pistons*,82,19780,3620,7365,.492,71,258,.275,3549,7107,.499,1956,2589,.756,1180,2538,3718,2083,662,500,1490,1977,9267,113.0
16,Phoenix Suns,82,19805,3569,7307,.488,89,279,.319,3480,7028,.495,2041,2692,.758,1137,2265,3402,2149,841,466,1515,2216,9268,113.0
17,Chicago Bulls*,82,19855,3601,7138,.504,70,233,.300,3531,6905,.511,2002,2627,.762,1104,2362,3466,2170,664,491,1298,2002,9274,113.1
18,San Antonio Spurs*,82,19805,3629,7365,.493,98,322,.304,3531,7043,.501,1916,2491,.769,1157,2304,3461,2269,800,453,1519,2108,9272,113.1
19,Denver Nuggets*,82,19755,3638,7404,.491,60,262,.229,3578,7142,.501,1967,2693,.730,1295,2732,4027,2106,639,484,1741,2117,9303,113.5
20,Portland Trail Blazers*,82,19855,3637,7249,.502,83,248,.335,3554,7001,.508,1992,2638,.755,1179,2362,3541,2254,760,426,1645,2262,9349,114.0
21,Dallas Mavericks*,82,19805,3864,7689,.503,90,311,.289,3774,7378,.512,1545,2049,.754,1219,2469,3688,2381,617,423,1279,2196,9363,114.2
22,Los Angeles Clippers,82,19755,3849,7588,.507,73,261,.280,3776,7327,.515,1704,2280,.747,1268,2458,3726,2469,760,457,1396,2113,9475,115.5
23,Golden State Warriors,82,19780,3863,7432,.520,65,229,.284,3798,7203,.527,1791,2401,.746,1170,2519,3689,2325,692,442,1487,2069,9582,116.9
,League Average,82,19810,3542,7268,.487,77,274,.282,3465,6994,.495,1877,2482,.756,1159,2413,3572,2133,721,431,1463,2067,9038,110.2
