
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
8,Bison Dele,C,6-9,235,April 6 1969,6,University of Arizona
4,Joe Dumars,SG,6-3,190,May 24 1963,12,McNeese State University
12,Steve Henson,PG,5-11,177,February 2 1968,5,Kansas State University
33,Grant Hill,SF,6-8,225,October 5 1972,3,Duke University
1,Lindsey Hunter,PG,6-2,170,December 3 1970,4,Jackson State University
43,Grant Long,PF,6-8,225,March 12 1966,9,Eastern Michigan University
44,Rick Mahorn,C,6-10,240,September 21 1958,16,Hampton University
23,Aaron McKie,SF,6-5,209,October 2 1972,3,Temple University
00,Eric Montross,C,7-0,270,September 23 1971,3,University of North Carolina
5,Charles O'Bannon,SG,6-5,209,February 22 1975,R,University of California Los Angeles
31,Scot Pollard,C,6-11,265,February 12 1975,R,University of Kansas
42,Theo Ratliff,C,6-10,225,April 17 1973,2,University of Wyoming
52,Don Reid,PF,6-8,250,December 30 1973,2,Georgetown University
14,Malik Sealy,SF,6-8,190,February 1 1970,5,St. John's University
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,2,University of North Carolina
13,Jerome Williams,PF,6-9,206,May 10 1973,1,Georgetown University
