
Rk,Player,Salary
1,JaVale McGee,$11250000
2,Jason Richardson,$6601125
3,Joel Embiid,$4427640
4,Luc Mbah a Moute,$4382576
5,Thomas Robinson,$3678360
6,Andrei Kirilenko,$3326235
7,Nerlens Noel,$3315120
8,Furkan Aldemir,$3000000
9,Travis Outlaw,$3000000
10,Eric Maynor,$2106720
11,Ronny Turiaf,$1500000
12,Tony Wroten,$1210080
13,Marquis Teague,$1120920
14,Robert Covington,$1000000
15,Ish Smith,$981084
16,Henry Sims,$915243
17,Jerami Grant,$884879
18,Isaiah Canaan,$816482
19,Hollis Thompson,$816482
20,JaKarr Sampson,$507336
21,Glenn Robinson,$507336
22,Malcolm Thomas,$474000
23,Pierre Jackson,$400000
24,Jarvis Varnado,$75000
25,Larry Drew,$59686
26,Tim Frazier,$59686
27,Drew Gordon,$40000
