
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
34,Robert Archibald,C,6-11,250,March 29 1980,1,University of Illinois at Urbana-Champaign
14-42,Mengke Bateer,C,6-11,290,November 20 1975,2,
35,Lonny Baxter,C,6-8,260,January 27 1979,1,University of Maryland
44,Corie Blount,C,6-9,240,January 4 1969,10,University of Cincinnati
4,Chris Bosh,C,6-11,235,March 24 1984,R,Georgia Institute of Technology
5-33,Michael Bradley,PF,6-10,245,April 18 1979,2,Villanova University
9,Rick Brunson,PG,6-4,190,June 14 1972,6,Temple University
15,Vince Carter,SG,6-6,220,January 26 1977,5,University of North Carolina
12,Michael Curry,SF,6-5,210,August 22 1968,9,Georgia Southern University
33,Antonio Davis,C,6-9,215,October 31 1968,10,University of Texas at El Paso
22,Dion Glover,SG,6-5,228,October 22 1978,4,Georgia Institute of Technology
32,Chris Jefferies,SG,6-8,225,February 13 1980,1,California State University Fresno
42,Donyell Marshall,PF,6-9,218,May 18 1973,9,University of Connecticut
31,Roger Mason,SG,6-5,200,September 10 1980,1,University of Virginia
6,Jerome Moiso,PF,6-10,235,June 15 1978,3,University of California Los Angeles
21,Lamond Murray,SF,6-7,236,April 20 1973,8,University of California
10,Milt Palacio,PG,6-3,195,February 7 1978,4,Colorado State University
2,Jannero Pargo,PG,6-1,175,October 22 1979,1,University of Arkansas
24,Morris Peterson,SF,6-7,218,August 26 1977,3,Michigan State University
5,Jalen Rose,PG,6-8,210,January 30 1973,9,University of Michigan
1,Rod Strickland,PG,6-3,175,July 11 1966,15,DePaul University
20,Alvin Williams,SG,6-5,185,August 6 1974,6,Villanova University
13,Jerome Williams,PF,6-9,206,May 10 1973,7,Georgetown University
