
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,Vin Baker,C,6-11,232,November 23 1971,9,University of Hartford
4,Tony Battie,C,6-11,230,February 11 1976,5,Texas Tech University
30,Mark Blount,C,7-0,230,November 30 1975,2,University of Pittsburgh
9,J.R. Bremer,PG,6-2,185,September 19 1980,R,St. Bonaventure University
5,Kedrick Brown,SF,6-7,222,March 18 1981,1,Okaloosa-Walton Community College
11,Mark Bryant,PF,6-9,245,April 25 1965,14,Seton Hall University
12,Bimbo Coles,PG,6-1,180,April 22 1968,12,Virginia Polytechnic Institute and State University
7,Tony Delk,PG,6-1,189,January 28 1974,6,University of Kentucky
43,Grant Long,PF,6-8,225,March 12 1966,14,Eastern Michigan University
0,Walter McCarty,SF,6-10,230,February 1 1974,6,University of Kentucky
31,Mikki Moore,C,6-11,225,November 4 1975,4,University of Nebraska
34,Paul Pierce,SG,6-7,235,October 13 1977,4,University of Kansas
41,Bruno Sundov,C,7-2,220,February 10 1980,4,
8,Antoine Walker,PF,6-8,224,August 12 1976,6,University of Kentucky
55,Eric Williams,SF,6-8,220,July 17 1972,7,Providence College
11,Shammond Williams,PG,6-1,201,April 5 1975,4,University of North Carolina
45,Ruben Wolkowyski,PF,6-10,270,September 30 1973,1,
