
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Shareef Abdur-Rahim,SF,6-9,225,December 11 1976,1,University of California
23,Pete Chilcutt,PF,6-10,230,September 14 1968,6,University of North Carolina
33,Antonio Daniels,SG,6-4,195,March 19 1975,R,Bowling Green State University
30,Blue Edwards,SG,6-4,200,October 31 1965,8,East Carolina University
12,Bobby Hurley,PG,6-0,165,June 28 1971,4,Duke University
9,George Lynch,SF,6-8,218,September 3 1970,4,University of North Carolina
6,Sam Mack,SF,6-7,220,May 26 1970,3,University of Houston
44,Tony Massenburg,C,6-9,220,July 31 1967,5,University of Maryland
11,Lee Mayberry,PG,6-1,172,June 12 1970,5,University of Arkansas
40,Ivano Newbill,PF,6-9,245,December 12 1970,2,Georgia Institute of Technology
7,Anthony Peeler,SG,6-4,208,November 25 1969,5,University of Missouri
50,Bryant Reeves,C,7-0,275,June 8 1973,2,Oklahoma State University
5,Chris Robinson,SG,6-5,200,April 2 1974,1,Western Kentucky University
6,Larry Robinson,SF,6-3,180,January 11 1968,4,Centenary College of Louisiana
34,Michael Smith,PF,6-8,230,March 28 1972,3,Providence College
10,Otis Thorpe,PF,6-9,225,August 5 1962,13,Providence College
