
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
14,Muggsy Bogues,PG,5-3,136,January 9 1965,13,Wake Forest University
15,Vince Carter,SF,6-6,220,January 26 1977,2,University of North Carolina
1,Chris Childs,PG,6-3,195,November 20 1967,6,Boise State University
7,Keon Clark,PF,6-11,220,April 16 1975,2,University of Nevada Las Vegas
23,Tyrone Corbin,SF,6-6,210,December 31 1962,15,DePaul University
30,Dell Curry,SG,6-4,190,June 25 1964,14,Virginia Polytechnic Institute and State University
9,Kornel David,SF,6-9,235,October 22 1971,2,
33,Antonio Davis,C,6-9,215,October 31 1968,7,University of Texas at El Paso
13,Mark Jackson,PG,6-1,180,April 1 1965,13,St. John's University
32,Garth Joseph,C,7-2,315,August 8 1973,R,College of Saint Rose
00,Eric Montross,C,7-0,270,September 23 1971,6,University of North Carolina
3,Tracy Murray,SF,6-7,225,July 25 1971,8,University of California Los Angeles
32,Mamadou N'Diaye,C,7-0,255,June 16 1975,R,Auburn University
34,Charles Oakley,PF,6-8,225,December 18 1963,15,Virginia Union University
24,Morris Peterson,SG,6-7,218,August 26 1977,R,Michigan State University
4,Michael Stewart,C,6-10,230,April 25 1975,3,University of California
20,Alvin Williams,SG,6-5,185,August 6 1974,3,Villanova University
13,Jerome Williams,PF,6-9,206,May 10 1973,4,Georgetown University
35,Corliss Williamson,SF,6-7,245,December 4 1973,5,University of Arkansas
42,Kevin Willis,C,7-0,220,September 6 1962,15,Michigan State University
