
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
49,Shandon Anderson,SF,6-6,208,December 31 1973,6,University of Georgia
51,Michael Doleac,C,6-11,262,June 15 1977,4,University of Utah
4,Howard Eisley,PG,6-2,177,December 4 1972,8,Boston College
32,Othella Harrington,PF,6-9,235,January 31 1974,6,Georgetown University
20,Allan Houston,SG,6-6,200,April 20 1971,9,University of Tennessee
44,Travis Knight,C,7-0,235,September 13 1974,6,University of Connecticut
54,Lee Nailon,SF,6-9,238,February 22 1975,2,Texas Christian University
7,Lavor Postell,SG,6-5,215,February 26 1978,2,St. John's University
8,Latrell Sprewell,SF,6-5,190,September 8 1970,10,University of Alabama
40,Kurt Thomas,C,6-9,230,October 4 1972,7,Texas Christian University
21,Charlie Ward,PG,6-2,190,October 12 1970,8,Florida State University
35,Clarence Weatherspoon,PF,6-6,240,September 8 1970,10,University of Southern Mississippi
30,Frank Williams,PG,6-3,212,February 25 1980,R,University of Illinois at Urbana-Champaign
