
Rk,Player,Salary
1,Gerald Wallace,$10105855
2,Isaiah Thomas,$7238606
3,Avery Bradley,$7191011
4,Brandon Bass,$6900000
5,Jonas Jerebko,$4500000
6,Marcus Smart,$3283320
7,Evan Turner,$3278000
8,Will Bynum,$2915908
9,Nate Robinson,$2106720
10,Vitor Faverani,$2090000
11,Kelly Olynyk,$2075760
12,Luigi Datome,$1750000
13,Tyler Zeller,$1703760
14,James Young,$1674480
15,Jared Sullinger,$1424520
16,Jae Crowder,$915243
17,Chris Douglas-Roberts,$915243
18,Phil Pressey,$816482
19,Erik Murphy,$100000
20,Andre Dawkins,$59686
21,Chris Babb,$48028
