
Rk,Player,Salary
1,Joe Johnson,$23180790
2,Deron Williams,$19754465
3,Brook Lopez,$15719063
4,Thaddeus Young,$9410870
5,Jarrett Jack,$6300000
6,Travis Outlaw,$4000000
7,Mirza Teletovic,$3368100
8,Bojan Bogdanovic,$3278000
9,Sergey Karasev,$1533840
10,Mason Plumlee,$1357080
11,Alan Anderson,$1276061
12,Jerome Jordan,$915243
13,Darius Morris,$702756
14,Markel Brown,$507336
15,Cory Jefferson,$507336
16,Earl Clark,$62552
