
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Mahmoud Abdul-Rauf,PG,6-1,162,March 9 1969,8,Louisiana State University
3,Shareef Abdur-Rahim,SF,6-9,225,December 11 1976,4,University of California
9,Isaac Austin,C,6-10,255,August 18 1969,7,Arizona State University
10,Mike Bibby,PG,6-1,190,May 13 1978,2,University of Arizona
8,Michael Dickerson,SG,6-5,190,June 25 1975,2,University of Arizona
21,Kevin Edwards,SG,6-3,190,October 30 1965,10,DePaul University
24,Othella Harrington,C,6-9,235,January 31 1974,4,Georgetown University
11,Damon Jones,PG,6-3,185,August 25 1976,2,University of Houston
43,Grant Long,PF,6-8,225,March 12 1966,12,Eastern Michigan University
44,Tony Massenburg,PF,6-9,220,July 31 1967,8,University of Maryland
20,Brent Price,PG,6-1,165,December 9 1968,7,University of Oklahoma
50,Bryant Reeves,C,7-0,275,June 8 1973,5,Oklahoma State University
25,Erick Strickland,PG,6-3,210,November 25 1973,4,University of Nebraska
4,Stromile Swift,PF,6-9,225,November 21 1979,R,Louisiana State University
2,Doug West,SG,6-6,200,May 27 1967,11,Villanova University
