
,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 &lt;3,3P,2P,0-3,3-10,10-16,16 &lt;3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Joe Johnson,33,6,249,.362,17.5,.564,.043,.213,.117,.191,.436,.415,.250,.450,.545,.333,.293,.364,.000,0,.917,.366,.200,1,0
2,Brook Lopez,26,6,234,.494,7.4,1.000,.414,.276,.149,.161,.000,.494,.611,.542,.231,.357,,.674,.057,5,,,,0,0
3,Bojan Bogdanovic,25,6,206,.390,17.5,.441,.169,.068,.102,.102,.559,.462,.800,.250,.000,.500,.333,.750,.051,3,1.000,.455,.333,0,0
4,Deron Williams,30,6,192,.391,15.8,.623,.261,.087,.014,.261,.377,.372,.444,.333,.000,.333,.423,.313,.000,0,.818,.308,.500,0,0
5,Thaddeus Young,26,6,190,.439,7.1,.939,.424,.348,.061,.106,.061,.468,.393,.609,.250,.429,.000,.690,.015,1,,.000,,0,0
6,Jarrett Jack,31,6,153,.519,15.3,.722,.093,.204,.278,.148,.278,.590,.800,.545,.467,.750,.333,.261,.000,0,.600,.267,.250,1,0
7,Alan Anderson,32,6,142,.610,16.0,.610,.220,.098,.122,.171,.390,.600,.889,.250,.400,.571,.625,.400,.024,1,.900,.438,.714,1,0
8,Mason Plumlee,24,6,49,.667,1.3,1.000,.833,.167,.000,.000,.000,.667,.600,1.000,,,,.500,.333,2,,,,0,0
9,Mirza Teletovic,29,3,16,.000,21.4,.200,.000,.200,.000,.000,.800,.000,,.000,,,.000,,.000,0,,.250,.000,0,0
10,Earl Clark,27,2,13,.200,19.2,.700,.000,.200,.000,.500,.300,.000,,.000,,.000,.667,,.000,0,1.000,.000,,0,0
11,Markel Brown,23,2,10,.400,10.8,.600,.400,.200,.000,.000,.400,.667,.500,1.000,,,.000,.000,.200,1,,.000,,0,0
12,Jerome Jordan,28,1,5,.000,7.0,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,.000,0,,,,0,0
13,Darius Morris,24,1,5,.000,18.0,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,.000,0,,,,0,0
