
,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 &lt;3,3P,2P,0-3,3-10,10-16,16 &lt;3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Kyle Lowry,28,70,2414,.412,15.6,.625,.199,.140,.096,.190,.375,.457,.630,.404,.320,.384,.338,.262,.000,0,.576,.148,.345,2,0
2,Patrick Patterson,25,81,2156,.449,16.8,.471,.159,.144,.095,.073,.529,.536,.553,.597,.529,.385,.371,.533,.017,7,1.000,.353,.410,1,0
3,DeMar DeRozan,25,60,2100,.413,12.8,.911,.193,.152,.228,.338,.089,.426,.644,.393,.372,.352,.284,.417,.033,29,.960,.648,.386,1,0
4,Jonas Valanciunas,22,80,2096,.572,4.5,.998,.505,.380,.063,.051,.002,.573,.669,.500,.390,.394,.000,.534,.113,63,,.000,,0,0
5,Terrence Ross,23,82,2092,.410,18.0,.482,.134,.094,.104,.151,.518,.452,.584,.324,.423,.430,.372,.579,.050,33,.931,.344,.410,2,0
6,Lou Williams,28,80,2016,.404,17.8,.518,.112,.125,.124,.157,.482,.464,.529,.483,.409,.445,.340,.283,.006,6,.559,.230,.485,1,0
7,Greivis Vasquez,28,82,1991,.408,16.7,.516,.112,.226,.076,.101,.484,.436,.568,.372,.455,.425,.379,.399,.003,1,.812,.128,.467,3,0
8,Amir Johnson,27,75,1979,.574,5.8,.911,.489,.351,.025,.044,.089,.590,.701,.467,.385,.478,.413,.685,.089,42,1.000,.196,.333,0,0
9,James Johnson,27,70,1370,.589,6.8,.874,.522,.248,.042,.062,.126,.643,.777,.490,.235,.400,.216,.458,.126,50,1.000,.471,.292,0,0
10,Tyler Hansbrough,29,74,1058,.521,4.0,.958,.648,.248,.024,.042,.042,.538,.570,.488,.250,.429,.143,.765,.127,21,1.000,.857,.167,0,0
11,Chuck Hayes,31,29,255,.478,3.7,1.000,.565,.391,.043,.000,.000,.478,.462,.500,.500,,,.909,.000,0,,,,0,0
12,Landry Fields,26,26,216,.488,5.5,.951,.463,.341,.146,.024,.049,.487,.684,.214,.500,.000,.500,.632,.073,3,1.000,.500,1.000,0,0
13,Greg Stiemsma,29,17,66,.750,3.8,1.000,.625,.250,.125,.000,.000,.750,.800,.500,1.000,,,.833,.125,1,,,,0,0
14,Lucas Nogueira,22,6,23,.250,5.0,1.000,.625,.125,.125,.125,.000,.250,.400,.000,.000,.000,,1.000,.375,2,,,,0,0
15,Bruno Caboclo,19,8,23,.333,10.7,.750,.250,.417,.000,.083,.250,.222,.667,.000,,.000,.667,1.000,.083,1,1.000,.333,1.000,0,0
