
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
52,Victor Alexander,C,6-9,265,August 31 1969,3,Iowa State University
1,Manute Bol,C,7-7,200,October 16 1962,9,University of Bridgeport
25,Chris Gatling,PF,6-10,220,September 3 1967,3,Old Dominion University
8,Tom Gugliotta,PF,6-10,240,December 19 1969,2,North Carolina State University
10,Tim Hardaway,PG,6-0,175,September 1 1966,4,University of Texas at El Paso
32,Rod Higgins,SF,6-7,200,January 31 1960,12,California State University Fresno
2,Keith Jennings,PG,5-7,160,November 2 1968,2,East Tennessee State University
20,Tim Legler,SG,6-4,200,December 26 1966,4,La Salle University
9-33,Ryan Lorthridge,SG,6-4,190,July 27 1972,R,Jackson State University
3,Donyell Marshall,SF,6-9,218,May 18 1973,R,University of Connecticut
50,Dwayne Morton,PG,6-7,195,August 8 1971,R,University of Louisville
17,Chris Mullin,SF,6-6,200,July 30 1963,9,St. John's University
22,Ricky Pierce,PG,6-4,205,August 19 1959,12,Rice University
34,Carlos Rogers,C,6-11,220,February 6 1971,R,Tennessee State University
44,Clifford Rozier,C,6-11,245,October 31 1972,R,University of Louisville
4-9,Rony Seikaly,C,6-11,230,May 10 1965,6,Syracuse University
15,Latrell Sprewell,SG,6-5,190,September 8 1970,2,University of Alabama
12,David Wood,PF,6-9,227,November 30 1964,4,University of Nevada Reno
