
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
13,John Amaechi,PF,6-10,270,November 26 1970,3,Pennsylvania State University
31,Jarron Collins,C,6-11,255,December 2 1978,R,Stanford University
25,John Crotty,PG,6-1,185,July 15 1969,9,University of Virginia
47,Andrei Kirilenko,SF,6-9,220,February 18 1981,R,
5,Rusty LaRue,PG,6-2,210,December 10 1973,3,Wake Forest University
20,Quincy Lewis,SG,6-7,215,June 26 1977,2,University of Minnesota
32,Karl Malone,PF,6-9,250,July 24 1963,16,Louisiana Tech University
42,Donyell Marshall,SF,6-9,218,May 18 1973,7,University of Connecticut
00,Greg Ostertag,C,7-2,280,March 6 1973,6,University of Kansas
34,Scott Padgett,PF,6-9,240,April 19 1976,2,University of Kentucky
3,Bryon Russell,SG,6-7,225,December 31 1970,8,California State University Long Beach
9,John Starks,SG,6-3,180,August 10 1965,12,Oklahoma State University
2,DeShawn Stevenson,SG,6-5,210,April 3 1981,1,
12,John Stockton,PG,6-1,170,March 26 1962,17,Gonzaga University
