
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Scott Brooks,PG,5-11,165,July 31 1965,5,University of California Irvine
50,Matt Bullard,PF,6-10,215,June 5 1967,3,University of Iowa
10,Sam Cassell,PG,6-3,185,November 18 1969,R,Florida State University
35,Earl Cureton,PF,6-9,210,September 3 1957,10,University of Detroit Mercy
17,Mario Elie,SF,6-5,210,November 26 1963,3,American International College
7,Carl Herrera,PF,6-9,215,December 14 1966,2,University of Houston
25,Robert Horry,SF,6-9,220,August 25 1970,1,University of Alabama
21,Chris Jent,SF,6-7,220,January 11 1970,R,Ohio State University
11,Vernon Maxwell,SG,6-4,180,September 12 1965,5,University of Florida
34,Hakeem Olajuwon,C,7-0,255,January 21 1963,9,University of Houston
3,Richard Petruska,C,6-10,260,January 25 1969,R,University of California Los Angeles
42,Eric Riley,C,7-0,245,June 2 1970,R,University of Michigan
20,Larry Robinson,SG,6-3,180,January 11 1968,3,Centenary College of Louisiana
30,Kenny Smith,PG,6-3,170,March 8 1965,6,University of North Carolina
33,Otis Thorpe,PF,6-9,225,August 5 1962,9,Providence College
