
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
9,Tariq Abdul-Wahad,SG,6-6,223,November 3 1974,2,San Jose State University
7,Cory Alexander,PG,6-1,185,June 22 1973,4,University of Virginia
4,Chauncey Billups,SG,6-3,202,September 25 1976,2,University of Colorado
42,Ryan Bowen,SF,6-7,215,November 20 1975,R,University of Iowa
13-15,Keon Clark,C,6-11,220,April 16 1975,1,University of Nevada Las Vegas
32,Chris Gatling,PF,6-10,220,September 3 1967,8,Old Dominion University
8,Chris Herren,PG,6-2,197,September 27 1975,R,California State University Fresno
54,Popeye Jones,PF,6-8,250,June 17 1970,6,Murray State University
45,Raef LaFrentz,C,6-11,240,May 29 1976,1,University of Kansas
21,George McCloud,SF,6-6,205,May 27 1967,9,Florida State University
24,Antonio McDyess,PF,6-9,220,September 7 1974,4,University of Alabama
5,Ron Mercer,SG,6-7,210,May 18 1976,2,University of Kentucky
41,James Posey,SF,6-8,215,January 13 1977,R,Xavier University
25,Roy Rogers,PF,6-10,235,August 19 1973,2,University of Alabama
23,Bryant Stith,SG,6-5,208,December 10 1970,7,University of Virginia
17,Johnny Taylor,SF,6-9,220,June 4 1974,2,University of Tennessee at Chattanooga
31,Nick Van Exel,PG,6-1,170,November 27 1971,6,University of Cincinnati
