
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
43,Chris Carr,SG,6-5,207,March 12 1974,1,Southern Illinois University
21,Kevin Garnett,SF,6-11,240,May 19 1976,1,
22,Dean Garrett,C,6-10,225,November 27 1966,R,Indiana University
24,Tom Gugliotta,PF,6-10,240,December 19 1969,4,North Carolina State University
10,Shane Heal,PG,6-0,180,September 6 1970,R,
31,Reggie Jordan,SG,6-4,195,January 26 1968,2,New Mexico State University
3,Stephon Marbury,PG,6-2,180,February 20 1977,R,Georgia Institute of Technology
42,Sam Mitchell,SF,6-6,210,September 2 1963,7,Mercer University
44,Cherokee Parks,PF,6-11,235,October 11 1972,1,Duke University
30,Terry Porter,PG,6-3,195,April 8 1963,11,University of Wisconsin-Stevens Point
26,James Robinson,PG,6-2,180,August 31 1970,3,University of Alabama
11,Stojko Vrankovic,C,7-2,260,January 22 1964,2,
5,Doug West,SG,6-6,200,May 27 1967,7,Villanova University
