
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Chucky Atkins,PG,5-11,160,August 14 1974,4,University of South Florida
42,Vin Baker,PF,6-11,232,November 23 1971,10,University of Hartford
11,Marcus Banks,PG,6-2,200,November 19 1981,R,University of Nevada Las Vegas
13,Dana Barros,SG,5-11,163,April 13 1967,13,Boston College
4,Tony Battie,C,6-11,230,February 11 1976,6,Texas Tech University
30,Mark Blount,C,7-0,230,November 30 1975,3,University of Pittsburgh
5,Kedrick Brown,SF,6-7,222,March 18 1981,2,Okaloosa-Walton Community College
12,Ricky Davis,SF,6-6,195,September 23 1979,5,University of Iowa
56,Brandon Hunter,PF,6-7,260,November 24 1980,R,Ohio University
13,Mike James,PG,6-2,188,June 23 1975,2,Duquesne University
20,Jumaine Jones,SG,6-8,218,February 10 1979,4,University of Georgia
45,Raef LaFrentz,C,6-11,240,May 29 1976,5,University of Kansas
0,Walter McCarty,PF,6-10,230,February 1 1974,7,University of Kentucky
4,Chris Mihm,C,7-0,265,July 16 1979,3,University of Texas at Austin
43,Kendrick Perkins,C,6-10,270,November 10 1984,R,
34,Paul Pierce,SG,6-7,235,October 13 1977,5,University of Kansas
5,Michael Stewart,C,6-10,230,April 25 1975,6,University of California
44,Jiri Welsch,SG,6-7,208,January 27 1980,1,
55,Eric Williams,SF,6-8,220,July 17 1972,8,Providence College
