
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Cory Alexander,PG,6-1,185,June 22 1973,2,University of Virginia
9,Willie Burton,SF,6-8,210,May 26 1968,6,University of Minnesota
15,Vinny Del Negro,SG,6-4,185,August 9 1966,7,North Carolina State University
21,Tim Duncan,PF,6-11,250,April 25 1976,R,Wake Forest University
32,Sean Elliott,SF,6-8,205,February 2 1968,8,University of Arizona
4,Reggie Geary,PG,6-2,187,August 31 1973,1,University of Arizona
7,Carl Herrera,PF,6-9,215,December 14 1966,6,University of Houston
2,Jaren Jackson,SG,6-4,190,October 27 1967,7,Georgetown University
6,Avery Johnson,PG,5-10,175,March 25 1965,9,Southern University and A&amp;M College
54,Brad Lohaus,PF,6-11,230,September 29 1964,10,University of Iowa
41,Will Perdue,C,7-0,240,August 29 1965,9,Vanderbilt University
45,Chuck Person,PF,6-8,220,June 27 1964,10,Auburn University
50,David Robinson,C,7-1,235,August 6 1965,8,United States Naval Academy
31,Malik Rose,PF,6-7,250,November 23 1974,1,Drexel University
3,Monty Williams,SF,6-8,225,October 8 1971,3,University of Notre Dame
