
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
20,Gene Banks,SF,6-7,215,May 15 1959,4,Duke University
,Ron Brewer,SG,6-4,180,September 16 1955,7,University of Arkansas
,Tony Brown,SG,6-6,185,July 29 1960,1,University of Arkansas
40,Dave Corzine,C,6-11,250,April 25 1956,7,DePaul University
44,Quintin Dailey,SG,6-3,180,January 22 1961,3,University of San Francisco
8,George Gervin,SG,6-7,180,April 27 1952,13,Eastern Michigan University
21,Sidney Green,PF,6-9,220,January 4 1961,2,University of Nevada Las Vegas
,Rod Higgins,SF,6-7,200,January 31 1960,3,California State University Fresno
10-32,Mike Holton,PG,6-4,185,August 4 1961,1,University of California Los Angeles
23,Michael Jordan,SG,6-6,195,February 17 1963,1,University of North Carolina
24,Kyle Macy,PG,6-3,175,April 9 1957,5,University of Kentucky
,Billy McKinney,PG,6-0,160,June 5 1955,6,Northwestern University
34,Charles Oakley,PF,6-8,225,December 18 1963,R,Virginia Union University
33,Jawann Oldham,C,7-0,215,July 4 1957,5,Seattle University
15,John Paxson,PG,6-2,185,September 29 1960,2,University of Notre Dame
,Mike Smrek,C,7-0,250,August 31 1962,R,Canisius College
0,Orlando Woolridge,SF,6-9,215,December 16 1959,4,University of Notre Dame
