
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,Etdrick Bohannon,SF,6-9,220,May 29 1973,1,Auburn University at Montgomery
40,Calbert Cheaney,SG,6-7,209,July 17 1971,5,Indiana University
51,John Coker,C,7-0,253,October 28 1971,1,Boise State University
52,Terry Davis,C,6-9,225,June 17 1967,8,Virginia Union University
5,Juwan Howard,SF,6-9,240,February 7 1973,4,University of Michigan
50,Randell Jackson,PF,6-11,215,January 16 1976,R,Florida State University
23,Tim Legler,SG,6-4,200,December 26 1966,8,La Salle University
10,Jeff McInnis,PG,6-4,190,October 22 1974,1,University of North Carolina
35,Tracy Murray,SF,6-7,225,July 25 1971,6,University of California Los Angeles
2,Mitch Richmond,SG,6-5,215,June 30 1965,10,Kansas State University
1,Rod Strickland,PG,6-3,175,July 11 1966,10,DePaul University
33,Otis Thorpe,PF,6-9,225,August 5 1962,14,Providence College
,Ben Wallace,C,6-9,240,September 10 1974,2,Virginia Union University
55,Jahidi White,PF,6-9,290,February 19 1976,R,Georgetown University
12,Chris Whitney,PG,6-0,168,October 5 1971,5,Clemson University
